"attr","w","m.statistic.S","m.var.S","m.z.S","m.p.value.S","m.statistic.S_InvDist","m.var.S_InvDist","m.z.S_InvDist","m.p.value.S_InvDist","m.statistic.B","m.var.B","m.z.B","m.p.value.B","m.statistic.B_InvDist","m.var.B_InvDist","m.z.B_InvDist","m.p.value.B_InvDist","m.statistic.W","m.var.W","m.z.W","m.p.value.W","m.statistic.W_InvDist","m.var.W_InvDist","m.z.W_InvDist","m.p.value.W_InvDist","m.statistic.C","m.var.C","m.z.C","m.p.value.C","m.statistic.C_InvDist","m.var.C_InvDist","m.z.C_InvDist","m.p.value.C_InvDist"
"AQI",1,0.0123338241414885,0.162223027331014,0.0330445511390597,0.486819530176271,0.0123339808734089,0.162297855399772,0.0330373524166769,0.486822400483803,0.0506417229967658,2.73485272962094,0.0330445511390597,0.486819530176271,0.0129155600681492,0.177964232941712,0.0330373524166769,0.486822400483803,0.0168805743322553,0.303872525513437,0.0330445511390597,0.486819530176271,0.0168805743322553,0.304004965440641,0.0330373524166769,0.486822400483803,0.008949409106403,0.0854094098588691,0.0330445511390597,0.486819530176271,0.00905827444824013,0.0875381148026769,0.0330373524166769,0.486822400483803
"AQI",2,0.0123338241414885,0.162223027331014,0.0330445511390597,0.486819530176271,0.0123335778774109,0.162297894001289,0.0330362690375254,0.486822832453755,0.0506417229967658,2.73485272962094,0.0330445511390597,0.486819530176271,0.0134572730357179,0.19321856459787,0.0330362690375254,0.486822832453755,0.0168805743322553,0.303872525513437,0.0330445511390597,0.486819530176271,0.0168805743322553,0.304024904619698,0.0330362690375253,0.486822832453755,0.008949409106403,0.0854094098588691,0.0330445511390597,0.486819530176271,0.00943820258968476,0.0950415069938045,0.0330362690375253,0.486822832453755
"AQI",3,0.0142418733764518,0.162026124607369,0.0381797388875459,0.484772187570815,0.0142451413847533,0.162100606189668,0.0381797254064732,0.484772192945066,0.067522297329021,3.64204430113109,0.0381797388875459,0.484772187570815,0.0169600601042669,0.229776645501741,0.0381797254064732,0.484772192945066,0.0168805743322553,0.227627768820693,0.0381797388875459,0.484772187570815,0.0168805743322553,0.227627929569207,0.0381797254064732,0.484772192945066,0.011932545475204,0.113740989074238,0.0381797388875459,0.484772187570815,0.0118948677620229,0.113023915201507,0.0381797254064732,0.484772192945066
"AQI",4,0.0174426613768177,0.161632319160079,0.046817368951619,0.481329392895329,0.0174368363168185,0.161707951189257,0.0467907880257017,0.481339985541932,0.101283445993532,5.44978843660618,0.046817368951619,0.481329392895329,0.0258197499402835,0.354568423973637,0.0467907880257017,0.481339985541932,0.0168805743322553,0.151383012127949,0.046817368951619,0.481329392895329,0.0168805743322553,0.151555056402035,0.0467907880257017,0.481339985541932,0.017898818212806,0.170196811398593,0.046817368951619,0.481329392895329,0.0181085744566968,0.174407244029615,0.0467907880257017,0.481339985541932
"AQI",5,0.0159228984983453,0.161829221883724,0.04271220671486,0.48296547444966,0.015922374473926,0.161904129765257,0.0427009194448182,0.48296997331441,0.0844028716612763,4.54702287012617,0.04271220671486,0.48296547444966,0.0215594279390199,0.296836105645981,0.0427009194448181,0.48296997331441,0.0168805743322553,0.181880914805047,0.04271220671486,0.48296547444966,0.0168805743322553,0.181977081836461,0.0427009194448181,0.48296997331441,0.014915681844005,0.142003456254146,0.04271220671486,0.48296547444966,0.0151206153034201,0.146009524858447,0.0427009194448182,0.48296997331441
"AQI",6,0.0123338241414885,0.162223027331014,0.0330445511390597,0.486819530176271,0.0123310205431079,0.162298138929623,0.033029394132934,0.486825573647911,0.0506417229967658,2.73485272962094,0.0330445511390597,0.486819530176271,0.0136398933647642,0.198580887531618,0.033029394132934,0.486825573647911,0.0168805743322553,0.303872525513437,0.0330445511390597,0.486819530176271,0.0168805743322553,0.304151480343769,0.033029394132934,0.486825573647911,0.008949409106403,0.0854094098588691,0.0330445511390597,0.486819530176271,0.00956628259950238,0.0976791585759467,0.033029394132934,0.486825573647911
"AQI",7,0.0142418733764518,0.162026124607369,0.0381797388875459,0.484772187570815,0.0142451452333664,0.162100605763895,0.0381797357716398,0.484772188812976,0.067522297329021,3.64204430113109,0.0381797388875459,0.484772187570815,0.0169566182205471,0.229683268262539,0.0381797357716398,0.484772188812976,0.0168805743322553,0.227627768820693,0.0381797388875459,0.484772187570815,0.0168805743322553,0.22762780597479,0.0381797357716397,0.484772188812976,0.011932545475204,0.113740989074238,0.0381797388875459,0.484772187570815,0.0118924538111614,0.112977984244763,0.0381797357716397,0.484772188812976
"AQI",8,0.0174426613768177,0.161632319160079,0.046817368951619,0.481329392895329,0.0174466640812308,0.161706619961791,0.0468173529966827,0.481329399253456,0.101283445993532,5.44978843660618,0.046817368951619,0.481329392895329,0.0254248557013634,0.343415580234054,0.0468173529966827,0.481329399253455,0.0168805743322553,0.151383012127949,0.046817368951619,0.481329392895329,0.0168805743322553,0.151383115307927,0.0468173529966827,0.481329399253456,0.017898818212806,0.170196811398593,0.046817368951619,0.481329392895329,0.0178316170212242,0.168921316326537,0.0468173529966827,0.481329399253455
"AQI",9,0.0174426613768177,0.161632319160079,0.046817368951619,0.481329392895329,0.0174466697389274,0.161706619195207,0.0468173682898328,0.481329393159054,0.101283445993532,5.44978843660618,0.046817368951619,0.481329392895329,0.0254009750760419,0.342770544193092,0.0468173682898328,0.481329393159054,0.0168805743322553,0.151383012127949,0.046817368951619,0.481329392895329,0.0168805743322553,0.151383016407694,0.0468173682898328,0.481329393159054,0.017898818212806,0.170196811398593,0.046817368951619,0.481329392895329,0.0178148684437706,0.168604032128065,0.0468173682898328,0.481329393159054
"AQI",10,0.0174426613768177,0.161632319160079,0.046817368951619,0.481329392895329,0.0174298475564537,0.161708897400857,0.0467718972335012,0.481347513635548,0.101283445993532,5.44978843660618,0.046817368951619,0.481329392895329,0.0258985666781855,0.357024645860647,0.0467718972335012,0.481347513635548,0.0168805743322553,0.151383012127949,0.046817368951619,0.481329392895329,0.0168805743322553,0.151677504855791,0.0467718972335012,0.481347513635548,0.017898818212806,0.170196811398593,0.046817368951619,0.481329392895329,0.0181638522486984,0.175615425190356,0.0467718972335012,0.481347513635548
