"attr","w","m.statistic.S","m.var.S","m.z.S","m.p.value.S","m.statistic.S_InvDist","m.var.S_InvDist","m.z.S_InvDist","m.p.value.S_InvDist","m.statistic.B","m.var.B","m.z.B","m.p.value.B","m.statistic.B_InvDist","m.var.B_InvDist","m.z.B_InvDist","m.p.value.B_InvDist","m.statistic.W","m.var.W","m.z.W","m.p.value.W","m.statistic.W_InvDist","m.var.W_InvDist","m.z.W_InvDist","m.p.value.W_InvDist","m.statistic.C","m.var.C","m.z.C","m.p.value.C","m.statistic.C_InvDist","m.var.C_InvDist","m.z.C_InvDist","m.p.value.C_InvDist"
"AQI",1,-0.248938493852946,0.187805422958764,-0.565163634159498,0.714018765342366,-0.287046888309816,0.187986978031376,-0.65279790488532,0.74305671275508,-0.989093609365641,2.96482323159481,-0.565163634159498,0.714018765342366,-0.157171419788745,0.0563597726435426,-0.65279790488532,0.74305671275508,-0.329697869788547,0.329424803510535,-0.565163634159498,0.714018765342366,-0.380734276442234,0.330724244938092,-0.65279790488532,0.74305671275508,-0.185455051756058,0.104232066735755,-0.565163634159498,0.714018765342366,-0.232136303710009,0.122944246519584,-0.65279790488532,0.74305671275508
"AQI",2,-0.211363873800447,0.187805422958764,-0.478459354690877,0.683838351595313,-0.228750774230252,0.187986533380922,-0.518343222015956,0.697890589211913,-0.839800440627252,2.96482323159481,-0.478459354690877,0.683838351595313,-0.121054701918593,0.0526459442122123,-0.518343222015956,0.697890589211913,-0.279933480209084,0.329424803510535,-0.478459354690877,0.683838351595313,-0.30338903259726,0.33067498933229,-0.518343222015956,0.697890589211913,-0.15746258261761,0.104232066735755,-0.478459354690877,0.683838351595313,-0.17879326335456,0.11484283274915,-0.518343222015956,0.697890589211913
"AQI",3,-0.0509690054445834,0.186791310703398,-0.107200725745976,0.542685130156544,-0.0982160356994652,0.186975266199164,-0.216428435050275,0.585673098248248,-0.233841111063379,3.93175169427049,-0.107200725745976,0.542685130156544,-0.0603369632057977,0.0705644977942644,-0.216428435050275,0.585673098248248,-0.0584602777658447,0.245734480891906,-0.107200725745976,0.542685130156544,-0.112810505772035,0.246671202798513,-0.216428435050275,0.585673098248248,-0.0438452083243835,0.138225645501697,-0.107200725745976,0.542685130156544,-0.0891154360920503,0.15393069569706,-0.216428435050275,0.585673098248248
"AQI",4,-0.301277054134455,0.184763086192667,-0.687690129859365,0.754176031579573,-0.325606055062842,0.184950931238431,-0.7439287269966,0.771540202493751,-1.69288085005139,5.83358969783796,-0.687690129859365,0.754176031579573,-0.240837572128497,0.101185913810606,-0.7439287269966,0.771540202493751,-0.282146808341898,0.162044158273277,-0.687690129859365,0.754176031579573,-0.305315440055988,0.162618186000404,-0.7439287269966,0.771540202493751,-0.317415159384636,0.205087137814616,-0.687690129859365,0.754176031579573,-0.355708078883216,0.220728816819771,-0.7439287269966,0.771540202493751
"AQI",5,-0.582742747261452,0.185777198448033,-1.33998292966771,0.909874552635002,-0.585063677456178,0.185945460226246,-1.34475377449576,0.910647618701049,-2.98914229795245,4.88800718301821,-1.33998292966771,0.909874552635002,-0.378207446188841,0.077703298783196,-1.34475377449576,0.910647618701049,-0.597828459590491,0.195520287320728,-1.33998292966771,0.909874552635002,-0.599956953924456,0.19553274151242,-1.34475377449576,0.910647618701049,-0.560464180866085,0.171844002527984,-1.33998292966771,0.909874552635002,-0.558598240773587,0.169503407712569,-1.34475377449576,0.910647618701049
"AQI",6,-0.270250553516271,0.187805422958764,-0.614341690371887,0.730505220712285,-0.262863944780162,0.187975510169957,-0.597022915774067,0.724753959466609,-1.07377164243781,2.96482323159481,-0.614341690371888,0.730505220712285,-0.134231288450134,0.0490170023009243,-0.597022915774067,0.724753959466609,-0.357923880812602,0.329424803510535,-0.614341690371888,0.730505220712285,-0.348001204534109,0.329458505813767,-0.597022915774067,0.724753959466609,-0.201332182957089,0.104232066735755,-0.614341690371888,0.730505220712285,-0.198254588429172,0.10692659199764,-0.597022915774067,0.724753959466609
"AQI",7,-0.0399205507401292,0.186791310703398,-0.0816370556199432,0.532532333248078,-0.0866221891615104,0.186975992899922,-0.189616642365285,0.575195227457766,-0.183151816636553,3.93175169427049,-0.0816370556199432,0.532532333248078,-0.0528702101281922,0.0696545692073937,-0.189616642365285,0.575195227457766,-0.0457879541591382,0.245734480891906,-0.0816370556199432,0.532532333248078,-0.0995028031215135,0.246716484868778,-0.189616642365285,0.575195227457766,-0.0343409656193536,0.138225645501697,-0.0816370556199431,0.532532333248078,-0.0780873212956043,0.151945760711481,-0.189616642365285,0.575195227457766
"AQI",8,-0.309710931950863,0.184763086192667,-0.707311064950008,0.760313404584797,-0.337045999054684,0.184950381791865,-0.770530132017363,0.779507255938492,-1.74027095179043,5.83358969783796,-0.707311064950008,0.760313404584797,-0.248053269546535,0.100176716199807,-0.770530132017363,0.779507255938492,-0.290045158631738,0.162044158273277,-0.707311064950008,0.760313404584797,-0.316028182930142,0.162602982787483,-0.770530132017363,0.779507255938492,-0.326300803460705,0.205087137814616,-0.707311064950008,0.760313404584797,-0.36636539386812,0.218527334556281,-0.770530132017363,0.779507255938492
"AQI",9,-0.350388534039597,0.184763086192667,-0.801945183157576,0.788707665971606,-0.350548242218141,0.18493011720554,-0.801948354422308,0.788708583228806,-1.96883908420219,5.83358969783796,-0.801945183157576,0.788707665971606,-0.246856903759903,0.0917070265552869,-0.801948354422308,0.788708583228806,-0.328139847367031,0.162044158273277,-0.801945183157576,0.788707665971606,-0.328141142659523,0.162044177055775,-0.801948354422308,0.788708583228806,-0.36915732828791,0.205087137814616,-0.801945183157576,0.788707665971606,-0.364598406384219,0.200051397504759,-0.801948354422308,0.788708583228806
"AQI",10,-0.378684582362574,0.184763086192667,-0.867774323625648,0.807241055549023,-0.368660082960772,0.184931509959908,-0.844063816912327,0.800683127239671,-2.12783505711395,5.83358969783796,-0.867774323625648,0.807241055549023,-0.261174557923546,0.092815480911929,-0.844063816912327,0.800683127239671,-0.354639176185658,0.162044158273277,-0.867774323625648,0.807241055549023,-0.345134738130792,0.162082463891703,-0.844063816912327,0.800683127239671,-0.398969073208865,0.205087137814616,-0.867774323625648,0.807241055549023,-0.385745045638439,0.202469400262517,-0.844063816912327,0.800683127239671
