"attr","w","m.statistic.S","m.var.S","m.z.S","m.p.value.S","m.statistic.S_InvDist","m.var.S_InvDist","m.z.S_InvDist","m.p.value.S_InvDist","m.statistic.B","m.var.B","m.z.B","m.p.value.B","m.statistic.B_InvDist","m.var.B_InvDist","m.z.B_InvDist","m.p.value.B_InvDist","m.statistic.W","m.var.W","m.z.W","m.p.value.W","m.statistic.W_InvDist","m.var.W_InvDist","m.z.W_InvDist","m.p.value.W_InvDist","m.statistic.C","m.var.C","m.z.C","m.p.value.C","m.statistic.C_InvDist","m.var.C_InvDist","m.z.C_InvDist","m.p.value.C_InvDist"
"AQI",1,0.0532460472204339,0.174001654020942,0.137275138698829,0.445406660412811,0.0531670204936871,0.174168978573339,0.137005539431478,0.44551320828508,0.211559587328519,2.74690761347442,0.137275138698829,0.445406660412811,0.0291113976052264,0.0522170425672415,0.137005539431478,0.44551320828508,0.0705198624428397,0.305211957052713,0.137275138698829,0.445406660412811,0.0705198624428397,0.306414330043075,0.137005539431478,0.44551320828508,0.0396674226240973,0.09657097078621,0.137275138698829,0.445406660412811,0.0429964445507517,0.113907218797947,0.137005539431478,0.44551320828508
"AQI",2,0.0532460472204339,0.174001654020942,0.137275138698829,0.445406660412811,0.0531709172026152,0.174168600069755,0.137015729701187,0.44550918093414,0.211559587328519,2.74690761347442,0.137275138698829,0.445406660412811,0.02813800108157,0.0487762087947625,0.137015729701187,0.44550918093414,0.0705198624428397,0.305211957052713,0.137275138698829,0.445406660412811,0.0705198624428397,0.306368753837188,0.137015729701187,0.44550918093414,0.0396674226240973,0.09657097078621,0.137275138698829,0.445406660412811,0.0415587743219689,0.106401320606481,0.137015729701187,0.44550918093414
"AQI",3,0.061483239392002,0.173138402628285,0.158906347198787,0.436871329949557,0.061396598479964,0.173307770513281,0.158604863191422,0.436990098514043,0.282079449771359,3.64437299204979,0.158906347198787,0.436871329949557,0.0377177135797071,0.0654063825591065,0.158604863191422,0.436990098514043,0.0705198624428397,0.227773312003112,0.158906347198787,0.436871329949557,0.0705198624428397,0.228640060666114,0.158604863191422,0.436990098514043,0.0528898968321298,0.12812248800175,0.158906347198787,0.436871329949557,0.0557076510892029,0.14267868808059,0.158604863191422,0.436990098514043
"AQI",4,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.0752064625666379,0.171584578662664,0.19525278705965,0.422597528054497,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.055627165316155,0.0938732358444149,0.19525278705965,0.422597528054497,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150865814737612,0.19525278705965,0.422597528054497,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0821592409085214,0.204776806362243,0.19525278705965,0.422597528054497
"AQI",5,0.0687403513787047,0.172275151235628,0.178107264862164,0.429319368360634,0.0687692838371647,0.172431160024073,0.178101604986,0.429321590794396,0.352599312214198,4.53275312433377,0.178107264862164,0.429319368360634,0.0444550844950338,0.0720559132262828,0.178101604986,0.429321590794396,0.0705198624428397,0.181310124973351,0.178107264862164,0.429319368360634,0.0705198624428397,0.181321648835366,0.178101604986,0.429321590794396,0.0661123710401622,0.159354602027359,0.178107264862164,0.429319368360634,0.0656584957345551,0.157184096801016,0.178101604986,0.429321590794396
"AQI",6,0.0532460472204339,0.174001654020942,0.137275138698829,0.445406660412811,0.0532674283466808,0.174159216688214,0.137268126258828,0.445409431737495,0.211559587328519,2.74690761347442,0.137275138698829,0.445406660412811,0.0272009748061111,0.0454142282546004,0.137268126258828,0.445409431737495,0.0705198624428397,0.305211957052713,0.137275138698829,0.445406660412811,0.0705198624428397,0.305243141789677,0.137268126258828,0.445409431737495,0.0396674226240973,0.09657097078621,0.137275138698829,0.445406660412811,0.0401748215883451,0.0990674343089272,0.137268126258828,0.445409431737495
"AQI",7,0.061483239392002,0.173138402628285,0.158906347198787,0.436871329949557,0.0613910831909681,0.173308389108943,0.158590332600711,0.436995822932697,0.282079449771359,3.64437299204979,0.158906347198787,0.436871329949557,0.037470300620687,0.0645629473398335,0.158590332600711,0.436995822932697,0.0705198624428397,0.227773312003112,0.158906347198787,0.436871329949557,0.0705198624428397,0.228681960160066,0.158590332600711,0.436995822932697,0.0528898968321298,0.12812248800175,0.158906347198787,0.436871329949557,0.0553422314100138,0.140838802952283,0.158590332600711,0.436995822932697
"AQI",8,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.0752098666323687,0.171584110952595,0.195261890900525,0.422593964725743,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0553516534023329,0.0929369954296044,0.195261890900525,0.422593964725743,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150851747206598,0.195261890900525,0.422593964725743,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0817523201249038,0.202734474270379,0.195261890900525,0.422593964725743
"AQI",9,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.0753353073023596,0.171566860956576,0.195597395680382,0.42246264942689,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0530513021168957,0.0850801746708709,0.195597395680382,0.42246264942689,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150334684332954,0.195597395680382,0.42246264942689,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0783547873841949,0.185595460698922,0.195597395680382,0.42246264942689
"AQI",10,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.0753266926399841,0.171568046522712,0.195574353205954,0.422471667888594,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0533646482474862,0.0861084774064625,0.195574353205954,0.422471667888594,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150370111137448,0.195574353205954,0.422471667888594,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0788175878897504,0.187838619233661,0.195574353205954,0.422471667888594
